Date,Time,Region,Spot,Wave_Height_ft,Surfline_Wave_Height_ft,Wind_Direction,Wind_Strength_mph,Observation_Type,Entered_By,Notes
12/28/2025,10:05:00 AM,Northern California,Ocean Beach North,2-3,2-3,NE,5,Visual ,Dean,
12/29/2025,11:35:00 AM,Northern California,Ocean Beach Central,2-3,2-3,NE,5,Visual ,Dean,
12/29/2025,11:35:00 AM,Northern California,Ocean Beach North,1-2,1-2,NE,5,Visual ,Dean,
12/30/2025,10:45:00 AM,Northern California,Ocean Beach Central,1-2,1-2,NE,7,Visual ,Dean,
12/30/2025,10:45:00 AM,Northern California,Ocean Beach North,0-1,1-2,NE,7,Visual ,Dean,
1/4/2026,3:00:00 PM,Northern California,26th Ave,5-7,6-8,,,Online Cam,Garrett,
1/4/2026,3:00:00 PM,Northern California,Mitchell's,5-6,5-7,,,Online Cam,Garrett,
1/4/2026,3:00:00 PM,Northern California,Steamer Lane Middle Peak,4-6,8-12,,,Online Cam,Garrett,
1/4/2026,3:00:00 PM,Northern California,Steamer Lane Point,4-6,8-12,,,Online Cam,Garrett,
1/4/2026,3:00:00 PM,Northern California,Steamer Lane Indicators,3-5,,,,Online Cam,Garrett,
1/4/2026,3:00:00 PM,Northern California,Pleasure Point First Peak,5-6,6-8,,,Online Cam,Garrett,
1/4/2026,3:00:00 PM,Northern California,Pleasure Point Second Peak,4-5,6-8,,,Online Cam,Garrett,
1/4/2026,3:00:00 PM,Northern California,Pleasure Point Sewers,6-7,6-8,,,Online Cam,Garrett,
1/6/2026,7:30:00 AM,Northern California,Manresa,4-6,4-6,,,Online Cam,Garrett,
1/6/2026,7:30:00 AM,Northern California,Capitola,2-3,1-2,,,Online Cam,Garrett,
1/6/2026,7:30:00 AM,Northern California,The Hook,3,2-3,,,Online Cam,Garrett,
1/6/2026,7:30:00 AM,Northern California,Pleasure Point First Peak,3-4,3-4,,,Online Cam,Garrett,
1/6/2026,7:30:00 AM,Northern California,Pleasure Point Second Peak,3-4,3-4,,,Online Cam,Garrett,
1/6/2026,7:30:00 AM,Northern California,Pleasure Point Sewers,4-5,3-4,,,Online Cam,Garrett,
1/6/2026,7:30:00 AM,Northern California,26th Ave,3-4,3-4,,,Online Cam,Garrett,
1/6/2026,8:30:00 AM,Northern California,Waddell Creek Beach,3-5,4-6,,,Standing on Shore,Garrett,
1/6/2026,8:30:00 AM,Northern California,Scott Creek,4-6,4-6,,,Standing on Shore,Garrett,
1/7/2026,5:00:00 PM,Northern California,Manresa,1-3,2-3,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Manresa,3-5,5-7,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Capitola,1,0-1,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Capitola,2-3,1-2,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,The Hook,1-2,0-1,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,The Hook,2,1-2,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Pleasure Point Jacks,1-2,0-1,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Pleasure Point Jacks,2-3,1-2,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Pleasure Point First Peak,2-4,2-3,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Pleasure Point First Peak,2-4,3-4,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Pleasure Point Second Peak,2-3,2-3,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Pleasure Point Second Peak,2-3,3-4,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Pleasure Point Sewers,3-4,2-3,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Pleasure Point Sewers,4-5,3-4,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,26th Ave,2-3,2-3,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,26th Ave,2-4,3-4,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Cowells,0,0-1,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Cowells,0,0-1,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Steamer Lane Middle Peak,0,2-3,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Steamer Lane Middle Peak,6-7,4-6,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Steamer Lane Point,2-3,2-3,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Steamer Lane Point,4-5,4-6,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Steamer Lane Indicators,1-2,,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Steamer Lane Indicators,3-4,,,,Online Cam,Garrett,
1/7/2026,5:00:00 PM,Northern California,Mitchell's,0-1,1-2,,,Online Cam,Garrett,
1/8/2026,7:00:00 AM,Northern California,Mitchell's,2-3,3-4,,,Online Cam,Garrett,
1/8/2026,3:00:00 PM,Northern California,Santa Maria,2-4,,,,Standing on Shore,Garrett,
1/8/2026,3:00:00 PM,Northern California,26th Ave,4-5,4-6,,,Standing on Shore,Garrett,
1/8/2026,3:00:00 PM,Northern California,Wind and Sea,5,,,,Standing on Shore,Garrett,
1/8/2026,3:00:00 PM,Northern California,Pleasure Point Sewers,6-7,4-6,,,Standing on Shore,Garrett,
1/8/2026,3:00:00 PM,Northern California,Pleasure Point First Peak,5-6,4-6,,,Standing on Shore,Garrett,
1/11/2026,7:00:00 AM,Northern California,Manresa,1-3,1-2,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Manresa,2-3,2-3,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,Capitola,0-1,0-1,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Capitola,1-2,0-1,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,The Hook,0,0-1,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,The Hook,1-2,1-2,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,Pleasure Point Jacks,0,0-1,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Pleasure Point Jacks,1-2,1-2,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,Pleasure Point First Peak,2-3,1-2,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Pleasure Point First Peak,2-3,2-3,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,Pleasure Point Second Peak,1-2,1-2,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Pleasure Point Second Peak,1-2,2-3,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,Pleasure Point Sewers,2-3,1-2,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Pleasure Point Sewers,3-4,2-3,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,26th Ave,1,1-2,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,26th Ave,1-2,2-3,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,Cowells,0,0-1,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Cowells,0,0-1,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,Steamer Lane Middle Peak,0,1-2,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Steamer Lane Middle Peak,0,3-4,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,Steamer Lane Point,2-4,1-2,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Steamer Lane Point,2-4,3-4,,,Online Cam,Garrett,
1/11/2026,7:00:00 AM,Northern California,Steamer Lane Indicators,0,,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Steamer Lane Indicators,1,,,,Online Cam,Garrett,
1/11/2026,8:00:00 AM,Northern California,Mitchell's,0,1-2,,,Online Cam,Garrett,
1/11/2026,5:00:00 PM,Northern California,Mitchell's,1-2,2-3,,,Online Cam,Garrett,
1/12/2026,7:00:00 AM,Northern California,Manresa,6-8,7,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Manresa,8-9,7,,,Online Cam,Garrett,
1/12/2026,7:00:00 AM,Northern California,Capitola,3-4,2-3,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Capitola,2-3,1-2,,,Online Cam,Garrett,
1/12/2026,7:00:00 AM,Northern California,Pleasure Point Jacks,3-4,3-4,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Pleasure Point Jacks,3-4,2-3,,,Online Cam,Garrett,
1/12/2026,7:00:00 AM,Northern California,Pleasure Point First Peak,5-8,5-7,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Pleasure Point First Peak,5-7,4-6,,,Online Cam,Garrett,
1/12/2026,7:00:00 AM,Northern California,Pleasure Point Second Peak,5-7,5-7,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Pleasure Point Second Peak,5-6,4-6,,,Online Cam,Garrett,
1/12/2026,7:00:00 AM,Northern California,Pleasure Point Sewers,10,5-7,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Pleasure Point Sewers,10,4-6,,,Online Cam,Garrett,
